Mã hồ sơ,Nhóm lĩnh vực,Kênh nộp hồ sơ,Tháng phát sinh,Số ngày giải quyết,Kết quả đánh giá
DVC-2026-003443,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 2,1,Đúng hạn
DVC-2026-006766,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 10,43,Trễ hẹn
DVC-2026-000323,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 5,3,Đúng hạn
DVC-2026-008883,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 12,34,Trễ hẹn
DVC-2026-009586,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 4,1,Đúng hạn
DVC-2026-009569,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 1,3,Đúng hạn
DVC-2026-006569,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 8,3,Đúng hạn
DVC-2026-009610,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 1,8,Đúng hạn
DVC-2026-008755,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 7,1,Đúng hạn
DVC-2026-007408,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 10,6,Đúng hạn
DVC-2026-006136,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 8,9,Đúng hạn
DVC-2026-008241,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 5,5,Đúng hạn
DVC-2026-000163,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 7,4,Đúng hạn
DVC-2026-001666,Xây dựng,Trực tuyến (DVC),Tháng 7,4,Đúng hạn
DVC-2026-007418,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 4,12,Đúng hạn
DVC-2026-005966,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 9,2,Đúng hạn
DVC-2026-006237,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 7,13,Đúng hạn
DVC-2026-003245,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 8,30,Trễ hẹn
DVC-2026-002623,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 10,8,Đúng hạn
